Group_Num	GROUP_NAME
00011	UNITED HEALTHCARE DUAL COMPLETE MBR PURCHASED COVE
00012	GEORGIA-PACIFIC LLC
000307	COLUMBIA VISTA CORPORATION
001542	MONDELEZ INTERNATIONAL
00300	ONE COMMUNITY HEALTH
00301	INDIVIDUAL PLAN  NO EMPLOYER MBR PURCHASED PLAN ON
00303	HMO-UNITEDHEALTHCARE DUAL COMPLETE FOCUS (HMO SNP)
00304	INDIVIDUAL PLAN  NO EMPLOYER MBR PURCHASED PLAN ON
00305	WELLMED MEDICAL MANAGEMENT INC
00306	AARP MEDICARE COMPLETE FOCUS
00308	HMO-AARP MEDICARECOMPLETE FOCUS ESSENTIAL (HMO)
00309	AARP MEDICARE COMPLETE FOCUS
00310	UHC DUAL COMPLETE FOCUS
00312	AARP COMPLETE
00313	AARP MEDICARE COMPLETE (MEDICARE ADVANTAGE)
005075	PORTLAND GE
005181	OREGON TEAMSTERS
005470	HOME BUILDERS ASSOC.
005477	HARRISON ELECTRICAL
005557	MACHINIST H&W TRUST
006689	MONDELEZ INTERNATIONAL
006697	PACIFIC COAST SHIPYARD
006705	WESTERN TEAMSTERS
006818	OREGON LABORERS
00F0084	CENTER POINT SIGNS
00F0150	SKYLIGHT DIGITAL LLC
00F0238	XETUS MORTGAGE CORP
00F0293	RMC GROUP LLC
00F0498	CUDEGRAS INC.
00F0642	ASIGHTFORSPORT
00F0647	ASIGHTFORSPORT
00F0780	ROLL TIDE PROPERTIES CORP.
00F1024	BANYAN
00F1187	THE DALLES IRON WORKS LLC
00F1289	ALL ASPECTS RENOVATION LLC
00F1290	ALL ASPECTS RENOVATION LLC
00F1395	MT. HOOD ENT & ALLERGY
00F1479	STACK METALLURICAL GROUP
00F1501	STACK METALLURICAL GROUP
00F1518	ALAN MASCORD DESIGN ASSOCIATES
00F1634	AKAHI CAPITAL MANAGEMENT LLC
00F1719	DERRICK CUTTING
00F1761	TELLURIC ENTERPRISES LLC.
00F1808	DENIC RESTAURANTS
00F1825	TRITON TECHNICAL LLC
00F2009	WATER SYSTEMS CONSULTING
00F2010	WATER SYSTEMS CONSULTING
00F2083	HIGH COUNTRY NEWS
00F2219	NEXT GENERATION KIDS
00F2221	GORGE ANALYTICAL
00F2430	FOSTER PLUMBING
00F2432	FOSTER PLUMBING
00F2438	YIN YANG NATURALS INC
00F2439	YIN YANG NATURALS INC
00F2626	QUALIFIED BENEFITS CONSULTANTS
00F2710	A DOG GONE GOOD PLACE
00F2711	A DOG GONE GOOD PLACE
00F3057	CORVALLIS MONTESSORI SOCIETY
00F3066	CORVALLIS MONTESSORI SOCIETY
00F3189	DILO COMPANY
00F3298	PHAGANS COSMETOLOGY COLLEGES
00F3299	PHAGANS COSMETOLOGY COLLEGES
00F3367	KEVEDY INC.
00F3451	BERWICK INSURANCE GROUP
00F3836	WESTLY CAPITAL MANAGEMENT LLC
00F3899	OAK HILL SCHOOL
00F4453	SAFETY BRAKE SET
00F4498	BUSINESS VALUATION RESOURCES
00F5088	CT SERVICES, LLC
00F5097	COLUMBIA RIVER HEALTH
00F5098	COLUMBIA RIVER HEALTH
00F5673	PEAR BUREAU NORTHWEST
00F5736	CHESS.COM LLC
00F6290	ORIGO EDUCATION
00F6344	GUROBI OPTIMIZATION LLC.
00F6345	GUROBI OPTIMIZATION LLC.
00F6742	MASTERPLANS
00F6746	ZFC 1, LLC
00F6747	ZFC 1, LLC
00F6999	GORDON'S ELECTRIC & HEATING
